Name,Country Code,Capital,International Direct Dialling
Cameroon,CM,Yaounde,237
France,FR,Paris,33
United States,US,"Washington, D.C.",1
India,IN,New Delhi,91
Brazil,BR,Brasília,55
Japan,JP,Tokyo,81
Australia,AUS,Canberra,61
Nigeria,NG,Abuja,234
Germany,DE,Berlin,49
